iter	MAE
0	0.6926522512
1	0.6820364553
2	0.6710495252
3	0.660712484444	0.650108064155	0.639476437
6	0.6299841368
7	0.6206960915
8	0.611369771
99	0.6010673991110	0.5921322397111	0.5837067273112	0.5751599438113	0.5667879165114	0.5582533342
15	0.549476106
16	0.5418072745
17	0.5341402139
18	0.5275161458
19	0.5196283902
20	0.512590911
21	0.5060097346
22	0.4994293249
23	0.4933007555
24	0.4865828214
25	0.4803511503
26	0.473719562
27	0.4671602388
28	0.4614543052
29	0.4558733939
30	0.449858234
31	0.4444519542
32	0.4395886792
33	0.4344377787
34	0.4288344957
35	0.4232901819
36	0.4184351108
37	0.4131176863
38	0.4088562207
39	0.4043705076
40	0.4002251288
41	0.3956180413
42	0.3916783086
43	0.3874667879
44	0.3831058842
45	0.3790036141
46	0.3747503483
47	0.3708884335
48	0.3673221722
49	0.36380118
50	0.3601495568
51	0.3570843932
52	0.3536159192
53	0.3502639004
54	0.3472125853
55	0.3438606899
56	0.340488068
57	0.3372879131
58	0.3343932977
59	0.3314829982
60	0.3283521431
61	0.3255983223
62	0.3226797474
63	0.3201437584
64	0.3177648893
65	0.3154120028
66	0.3132309166
67	0.3106430578
68	0.3078402549
69	0.3053604587
70	0.3030365828
71	0.3007889718
72	0.2985616481
73	0.2965209678
74	0.2944599377
75	0.2922091462
76	0.2903395625
77	0.2883631256
78	0.2864097494
79	0.284471811
80	0.2828679994
81	0.2812024275
82	0.2795877342
83	0.2779568784
84	0.2761819038
85	0.2746299665
86	0.2731102795
87	0.2715269233
88	0.269798837
89	0.2681718834
90	0.2668156704
91	0.2652876182
92	0.2639453606
93	0.2625495672
94	0.2613486206
95	0.2600385194
96	0.2588262273
97	0.257631659
98	0.2564591983
99	0.2551807455
100	0.2540677022
101	0.2529368819
102	0.2517840793
103	0.2508131795
104	0.24986007
105	0.2489102811
106	0.2478266264
107	0.2468879976
108	0.2460081748
109	0.2451978556
110	0.2442258335
111	0.243431723
112	0.2425683698
113	0.2416319917
114	0.2409155391
115	0.2403028316
116	0.2393885581
117	0.2386803412
118	0.2380179082
119	0.2374160418
120	0.2365319053
121	0.2359031261
122	0.2353495646
123	0.2348387948
124	0.2341186565
125	0.2334933485
126	0.2329012829
127	0.2324369714
128	0.2318667741
129	0.231376347
130	0.2306705431
131	0.2299347867
132	0.2293310105
133	0.2286769942
134	0.2281332685
135	0.2275603957
136	0.2270280323
137	0.2265251134
138	0.2259861849
139	0.2255125281
140	0.2249957802
141	0.2244625182
142	0.2241045549
143	0.2235772889
144	0.2230858186
145	0.2227017199
146	0.2222522426
147	0.2217779739
148	0.2213045151
149	0.2209410086
150	0.2204487152
151	0.2199896698
152	0.2195627359
153	0.219187237
154	0.2187746523
155	0.2183527009
156	0.2179547016
157	0.2176441051
158	0.2172408664
159	0.2168607994
160	0.2164845881
161	0.2161641276
162	0.2158391601
163	0.2154094626
164	0.215131246
165	0.2148575837
166	0.2145061861
167	0.214220383
168	0.2139384187
169	0.213713179
170	0.2134357461
171	0.2130412956
172	0.2127912555
173	0.2124283963
174	0.2121847239
175	0.211907552
176	0.2115814532
177	0.2113636881
178	0.211093593
179	0.2108917687
180	0.2104974152
181	0.2102688412
182	0.2100154077
183	0.2097416101
184	0.2094585826
185	0.2091957669
186	0.2089129852
187	0.2086887595
188	0.2084753162
189	0.2082059375
190	0.2079751644
191	0.2077892743
192	0.2075382631
193	0.2073937928
194	0.2072407788
195	0.2070055613
196	0.2068674496
197	0.2066372943
198	0.2064220682
199	0.2061755753
200	0.2059756799
201	0.2058349804
202	0.2055399918
203	0.205413233
204	0.2052082813
205	0.2050666593
206	0.2049249539
207	0.2047565007
208	0.2045395609
209	0.2043646458
210	0.2042333645
211	0.2040326457
212	0.2038349951
213	0.2036419203
214	0.2034695812
215	0.2032255258
216	0.2030471479
217	0.2028921462
218	0.2027161407
219	0.2025103961
220	0.2023615172
221	0.2022096703
222	0.2020525176
223	0.2018890498
224	0.2017803236
225	0.2015346337
226	0.2012916199
227	0.2011370811
228	0.2010140349
229	0.2008892963
230	0.2007269069
231	0.2006288984
